intent,intent_label,count,dataset,pct,root_cause,root_cause_label,sentiment,sentiment_label,risk_band,risk_label
access_blocked,0.0,1227,intent,6.12,,,,,,
account_closure,1.0,192,intent,0.96,,,,,,
churn_signal,2.0,105,intent,0.52,,,,,,
competitor_switch,3.0,138,intent,0.69,,,,,,
complaint,4.0,4598,intent,22.94,,,,,,
data_integrity_issue,5.0,987,intent,4.92,,,,,,
feature_request,6.0,1450,intent,7.23,,,,,,
fx_conversion_complaint,7.0,677,intent,3.38,,,,,,
interbank_transfer_failure,8.0,212,intent,1.06,,,,,,
noise,9.0,874,intent,4.36,,,,,,
payment_failure,10.0,1698,intent,8.47,,,,,,
praise,11.0,3439,intent,17.16,,,,,,
refund_request,12.0,1055,intent,5.26,,,,,,
regulatory_risk,13.0,328,intent,1.64,,,,,,
security_concern,14.0,407,intent,2.03,,,,,,
service_quality,15.0,253,intent,1.26,,,,,,
support_failure,16.0,130,intent,0.65,,,,,,
technical_failure,17.0,1332,intent,6.65,,,,,,
ux_friction,18.0,941,intent,4.69,,,,,,
,,7,root_cause,0.06,account_freeze_no_reason,0.0,,,,
,,278,root_cause,2.4,api_failure,1.0,,,,
,,1814,root_cause,15.65,app_crash_or_bug,2.0,,,,
,,367,root_cause,3.17,app_update_regression,3.0,,,,
,,1054,root_cause,9.09,authentication_failure,4.0,,,,
,,36,root_cause,0.31,biometric_failure,5.0,,,,
,,424,root_cause,3.66,competitor_reference,6.0,,,,
,,216,root_cause,1.86,data_sync_issue,7.0,,,,
,,83,root_cause,0.72,device_limit_exceeded,8.0,,,,
,,1,root_cause,0.01,fee_without_service,9.0,,,,
,,160,root_cause,1.38,financial_safety_confidence,10.0,,,,
,,3323,root_cause,28.66,general_satisfaction,11.0,,,,
,,4,root_cause,0.03,lankapay_ceft_failure,12.0,,,,
,,2,root_cause,0.02,misleading_promotion,13.0,,,,
,,279,root_cause,2.41,notification_delivery_failure,14.0,,,,
,,1102,root_cause,9.5,offer_discoverability,15.0,,,,
,,271,root_cause,2.34,other,16.0,,,,
,,10,root_cause,0.09,otp_loop_failure,17.0,,,,
,,131,root_cause,1.13,poor_security_implementation,18.0,,,,
,,3,root_cause,0.03,qr_payment_failure,19.0,,,,
,,5,root_cause,0.04,regulatory_block,20.0,,,,
,,582,root_cause,5.02,security_restriction_ux,21.0,,,,
,,475,root_cause,4.1,slow_performance,22.0,,,,
,,422,root_cause,3.64,unjustified_billing,23.0,,,,
,,159,root_cause,1.37,unreadable_text,24.0,,,,
,,386,root_cause,3.33,unresponsive_support,25.0,,,,
,,1142,sentiment,6.95,,,mixed,0.0,,
,,7021,sentiment,42.73,,,negative,1.0,,
,,3362,sentiment,20.46,,,neutral,2.0,,
,,4907,sentiment,29.86,,,positive,3.0,,
,,1122,risk,9.68,,,,,CRITICAL,4.0
,,4423,risk,38.15,,,,,HIGH,3.0
,,1207,risk,10.41,,,,,LOW,1.0
,,1201,risk,10.36,,,,,MODERATE,2.0
,,3641,risk,31.4,,,,,NEGLIGIBLE,0.0
